人行道	路径/街道/物体/实物
体香剂	香水/物品/物体/实物
冰箱	冷冻柜/产品/商品/物品/实物
剪刀	实物/工具/产品/物品
台子	家具/桌子/物体/实物
吸尘器	实物/工具/产品/物品
外衣	衣服/大衣/服饰/产品/衣服/物件
布朗尼	糕点/食品/实物
手镯	珠宝/物品/物体/实物/装饰/装饰品
扳手	实物/工具/产品/物品
扶手椅	椅子/家具/摆设/物品/物体/实物
挤压器	工具/物体
斧头	实物/工具/产品/物品
日记	实物/杂志/书/文章/物件
明信片	通讯/消息/纪念品
李子	水果/产品/食物/物质/实物/物体/食品
架	家具/摆设/物品/物件/实物
柠檬	水果/产品/食物/物质/实物/物体
桃子	水果/产品/食物/物质/实体
毛衣	衣服/服饰/服装/产品/商品/物件
汉堡包	三明治/零食/食品/物质/实物/肉
汽油	燃料/碳氢化合物/物质/材料/化合物
沙发	家具/摆设/物品/物件/实物
洗剂	香水/物品/实物
洗碗机	装置/机器/物体/产品
浴盆	容器/物体/实物
混合器	工具/工件/实物
烤箱	实物/工具/产品/物品
照片	图像/表示/物品/物体/实物
牙刷	刷子/物品/物体/实物
牛仔裤	裤子/衣服/服装/服饰/产品/物件
电脑	设备/机器/物品/实物
电视	设备/机器/物品/实物
睫毛膏	化妆品/物品/实物
笔记本	纸/实物/物体
糕点	食物/甜点/食品/物质/实物/固体
胸针	珠宝/装饰品/装饰/物品/物件
花瓶	容器/物品/物体/实物/瓶子
茶杯	餐具/物品/物体/实物/容器/杯子
葡萄柚	水果/产品/食物/物质/食品/物体
蛋糕	甜点/食品/实体/固体/物质/实物
衬衫	服饰/服装/产品/物件/衣服
袖口	物品/物体/实物
裙子	衣服/服饰/服装/产品/商品/物件
裤子	布料/纺织物/物体/实物/服装/衣物/产品
订书机	设备/机器/物品/实物
连衣裙	服装/服饰/衣服/产品/物件
钳	实物/工具/产品/物品
项链	珠宝/装饰品/装饰/物品/物件/实体
香水	物品/实物
