Abendessen	Fiesta/Fest/Bankett
Affe	Gorilla
Entschuldigung	Spitzfindigkeit
Explosion	Detonation/Deflagration
Glauben	Fanatismus/Eifer
Haus	Palast/Burg
Katze	Jaguar/Leopard/Tiger/Löwe/Panther
Liebe	Crush/Verliebtheit/Fürsorge
Meer	Ozean
Nickerchen	Schlaf
Niesel	Regen/Sintflut/Dusche/Raifall
Pony	Pferd
Regen	Dusche/Flut
Schmerz	Qual/Folter
See	Ozean/Meer
Snack	Mahlzeit/Essen
Traum	Vision/Halluzination/Utopie/Chimäre
aufgeregt	nervös
bald	sofort/prompt
bitten	flehen/betteln/bestehen/beten
dösen	schlafen
entgegengesetzt	unpässlich/antipathisch/abgeneigt/verabscheut
feucht	gesättigt/nass
glücklich	verzückt/rhapsodisch/ekstatisch/entzückt
groß	riesig/enorm/gewaltig/ungeheuer/immens/riesengroß
gut	boomend/erfolgreich/robust/blühend
hassen	exekutieren/verabscheuen/verachten/verurteilen
heiß	sengend/glühend
hungrig	verhungern/peckisch/verhungert/ausgehungert
interessant	rührend/auffällig/inspirierend/mitreißend/verhaftend/faszinierend/provokativ/aufregend/anregend/bewegend/berauschend
irritiert	verrückt/wütend
kalt	eisig
kichern	brüllen/lachen
kreativ	genial/innovativ/erfinderisch/originell/demiurgisch/gerätevoll
langweilig	lästig/dämpfend/ermüdend
lecker	üppig/himmlisch/zahnig/köstlich/ambrosial
lieben	verehren/Heldenverehrung/vergöttern/anbeten/fetischisieren
müde	ausgelaugt/erschöpft
notwendig	unverzichtbar/erforderlich/wesentlich/lebenswichtig
schlecht	faul
schuldig	unwürdig/reuig/traurig
stark	super/kraftvoll
traurig	deprimiert/verzweifelt/entmutigt/niedergeschlagen/melancholisch
unglücklich	hoffnungslos/bedauerlich/elend/traurig/tragisch/schwer/schrecklich/verzweifelt/katastrophal
verwirrt	verzweifelt/gefangen/verloren
warm	heiß/feurig/schwül/sinnlich/erhitzt/flammend/weißglühend/brutzelnd
weinen	schreien/kreischen
wollen	verhungern/sehnen/dürsten/hungern
wütend	empört/verärgert/brodelnd
ängstlich	entsetzt/versteinert/steif/erschrocken/panisch
