acciaio	ferro/perlite/carbonio/cementite/ferrite
acqua	ossigeno/idrogeno/h2o
atmosfera	gas/ossigeno/idrogeno/azoto/ozono
bandiera	tessuto/carta
barba	capello
bicchiere	vetro/plastica/carta/compostabile
bottiglia	vetro/plastica
bronzo	rame/stagno
calcestruzzo	silicio/cemento/acqua/sabbia
caramella	zucchero/cioccolato/gelatina/melassa/sciroppo/miele/frutta/noce
casa	mattone/cemento/legno/argilla
centesimo	metallo/bronzo/nichel/zinco/rame/stagno
cioccolato	cacao
ciotola	vetro/porcellana/alluminio/legno/acciaio/plastica/argilla
cocktail	alcool/succo/acqua
corpo	carne/ossa
cucchiaio	alluminio/legno/acciaio
diamante	carbonio
filo	metallo/rame
frittata	uovo/latte/formaggio
ghiacciaio	ghiaccio/acqua/ossigeno/idrogeno/h2o
ghiaccio	acqua/ossigeno/idrogeno/acqua/h2o
ghiacciolo	acqua/ghiaccio/frutta
jeans	tessuto/denim
lente	vetro/plastica
maniglia	metallo/acciaio/bronzo/legno
mare	acqua
marmellata	frutta/zucchero
neve	acqua/ossigeno/idrogeno/fiocco/ghiaccio
nube	vapore/acqua
oceano	acqua
pane	farina/lievito
parete	cemento/mattone/pietra/roccia/legno/cartone/argilla/fango
parrucca	capello
pasticcino	farina/uovo/burro/riempimento
pillola	medicina/farmaco
plastica	polimero/olio/gas/carbone
prato	erba
sacchetto	pelle/tessuto/plastica
scatola	cartone
scrivania	legno/metallo/acciaio
soldi	carta/metallo/argento/oro/ferro/rame/stagno
specchio	vetro/bronzo
spiaggia	sabbia/silicio/roccia/ciottolo
stivale	pelle/tela
tavolo	legno/metallo/plastica
tetto	tegola/piastrella/legno/metallo
vestito	tessuto/pelle
vino	uva
yogurt	latte
