amare	adorare/feticizzare/idolatrare
antipatia	odio/disprezzo/disdegno
arrabbiato	furioso/infuriato/indignato/irato/ribollente
caldo	rovente/afoso/torrido
casa	castello/rocca
cattivo	atroce/abominevole/terribile/doloroso/indicibile
cena	festa/banchetto
chiedere	implorare/pregare/supplicare/insistere
ciabatta	flip-flop/infradito/pantofola
confuso	perso/disorientato/disperato
contento	estatico/rapito
contrario	avverso/antipatico/indisposto/restio
creativo	ingegnoso/inventivo/demiurgico/innovativo/originale
danzare	volteggiare
delirare	farneticare/sproloquiare/straparlare
dolore	tormento/tortura/agonia
dottore	chirurgo/sanitario/curante
fede	fanatismo/zelo
forte	potente/eccellente
gustoso	delizioso/succulento
impaurito	terrorizzato/rigido/pietrificato/impanicato
infelice	miserabile/sofferente
interessante	emozionante/esilarante/stimolante/inebriante/trascinante/intrigante/provocante
invito	convocazione/esortazione/richiamo/proposta/preghiera
lago	mare/oceano
mangiare	nutrirsi/divorare/spizzicare
mare	oceano
necessario	essenziale/irrinunciabile/vitale
noioso	opaco/fastidioso
ora	momento/periodo/tempo
piacere	amore/cura/passione
piangere	urlare/gridare
pioggerella	pioggia/diluvio
pisolino	sonno
pony	cavallo
preciso	diligente/zelante
presto	subito/immediatamente
raffreddore	polmonite
ragazza	fanciulla/donzella
ridacchiare	ridere
scimmia	gorilla
scoppio	detonazione/esplosione/deflagrazione
scusa	pretesto/cavillo
sfortunato	tragico/doloroso/grave/miserabile/pessimo/deplorevole/disastroso
sogno	incubo/visione/allucinazione/utopia/chimera
sonnecchiare	dormire
spuntino	pasto
stanco	esausto/drenato
triste	depresso/disperato/scoraggiato/sconsolato/malinconico
umido	inzuppato/umidiccio/saturo/imbevuto/bagnato
