aide	assistance
animal	bête
balle	ballon
bateau	navire
beau	joli
bonbon	confiserie
canapé	divan/fauteuil
confus	déconcerté/perdu
conjoint	compagnon/partenaire
dire	annoncer/avouer/exprimer/prétendre/raconter
enfant	jeune/mineur
erreur	faute
facile	aisé/simple
fidèle	dévote/fiable/vrai
flexible	souple
halte	arrêt
hiéroglyphe	pictogramme
homogène	invariable/uniforme
honnête	authentique/sincère
identique	indistinguable/indistinguible/pareil
incorrect	contrefactuel/erroné/faux
intelligent	malin
laid	moche
liste	énumération
littoral	côte
livre	bouquin
marché	bazar
matelot	marin
mauvais	méchant
meurtre	assassinat/homicide
mère	maman
nouveau	moderne/récent
obsolète	périmé
organisé	arrangé/configuré/incorporé/rangé
paresseux	fainéant/indolent
pierre	caillou/roc/roche/rocher
portion	composante/constituant/part/partie
père	papa
rationnel	cohérent/logique/raisonnable
réparer	raccommoder
serpent	ophidien
style	façon/manière/mode
tissu	matière/textile
téléphone	cellulaire/portable/smartphone
vieux	ancien/âgé
visage	face/figure
vocabulaire	dictionnaire/glossaire/lexique
voiture	auto/automobile
vélo	bicyclette/cycle
écolier	élève
