云	汽/水
假发	头发
冰	水/氧气/氢气
冰川	冰/水/氧气/氢气
冰柱	冰/水
勺	铝/木/钢
台子	木/金属/钢
塑料	聚合物/石油
墙	水泥/砖/石头/岩石/木/纸板/黏土/泥
大气层	气体/氧气/氢气/氮气/臭氧
家	砖/水泥/木/黏土
屋顶	木瓦/瓷砖/木/金属
巧克力	可可
把儿	金属/钢/青铜/木
旗	纸/布
杯子	玻璃/塑料/纸
果酱	水果/糖
桌子	木/金属/塑料
水	氧气/氢气
水泥	硅/水/沙
海	水
海洋	水
海滩	沙/硅/岩石/鹅卵石
牛仔裤	布
瓶子	玻璃/塑料
盒子	纸板/锡/木
碗	玻璃/瓷质/铝/木/钢/塑料/黏土
糕点	面粉/鸡蛋/黄油/馅儿
糖果	糖/牛轧糖/巧克力/果冻/糖蜜/糖浆/蜂蜜/水果/坚果
线	金属/铜
胡子	毛
草地	草
药品	丸
葡萄酒	葡萄/红酒
蛋包	鸡蛋/牛奶/奶酪
衣服	布料/皮革
袋	皮革/塑料
身体	肉/骨头
酸奶	牛奶
钢	铁/珍珠岩/碳
钱	纸/金属/银/金/铁/铜/锡
钱币	金属/合金/青铜/镍/锌/铜/锡
钻石	碳
镜子	玻璃/青铜
镜片	玻璃/塑料
雪	水/氧气/氢气/雪花/冰
青铜	铜/锡
面包	面粉
靴子	皮革/帆布
鸡尾酒	酒/果汁/水
